index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
2393,1794,4067724499340685174911,Speeding,Speeding,2/11/2018,Sun,People illegally cut-through the commercial lot located at the intersection of Edwards and Hyde Park Ave.and then speed down Hyde Park Ave,walks,MILLSBRAE AV & HYDE PARK AV,Hyde Park Av,Oakley,
2394,1795,4068517491140686415486,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/11/2018,Sun,Cars traveling on Markbreit often don't come to a full stop at this intersection.,walks,MILLSBRAE AV & HYDE PARK AV,Millsbrae Av,Oakley,
2395,1754,4068422385640684854565,Speeding,Speeding,2/11/2018,Sun,"Even though there are two speed humps on Millsbrae, they are spaced so far apart that they do little to slow down traffic.  Millsbrae is now used by many instead of Edwards Rd. and those same folks are also speeding.",walks,INVERNESS PL & INVERNESS PL TERM SW OF HYDE PARK AV,Millsbrae Av,Oakley,
2396,1796,4068913398540692664280,Speeding,Speeding,2/11/2018,Sun,Cars are often traveling closer to 50mph between Edwards Rd. and Oakley Square.,walks,ANDREW AV & MADISON RD,Madison Rd,Oakley,I agree
2397,1755,4068967545240691454949,Speeding,Speeding,2/11/2018,Sun,"Many drivers use Eileen as a way of avoiding Oakley Square, but travel 35-40 mph instead of 25mph.",walks,EILEEN DR & ROMANA PL,Eileen Dr,Oakley,
2398,1797,4067991339040780432857,Speeding,Speeding,2/11/2018,Sun,,walks,MICHIGAN AV & MADISON RD,Michigan Av,Oakley,
2399,1798,3307076248833071882586,No Sidewalks,No Sidewalks,2/11/2018,Sun,Sidewalk and sewer were damaged on the east side of Lang by the Port's contractors while rebuilding 1706 Lang. Conditions continue to worsen and make walking dangerous,walks,HUST AL & LANG ST,Lang St,Over-the-Rhine,
2400,1799,4067601366140681553440,Speeding,Speeding,2/11/2018,Sun,Cars fly along Edwards at speeds in excess of 50 mph between the intersection at Madison and the I-71 North on-ramp.  Walking on Edwards feels like you're walking along a highway - it's awful.,walks,WILLARD AV & EDWARDS RD,Willard Av,Oakley,"YES.! Crossing Edwards, Red-light-runners,  and Speeding drivers are dangerous. !"
2401,1800,3306372273633064032557,Long wait for walk signal,Long wait for walk signal,2/11/2018,Sun,Very hard to understand when to walk because pedestrian signals are so dated and broken. Please upgrade to have number countdowns,walks,W ELDER ST & VINE ST,Vine St,Over-the-Rhine,
2402,1756,3306422246233064342368,No Sidewalks,No Sidewalks,2/11/2018,Sun,Basement doors on vacant building are halfway fallen into basement and VERY dangerous to walkers. Please fill/cover this hole,walks,SPECHT AL & VINE ST,Vine St,Over-the-Rhine,
2403,1801,4068400355540689133985,Parking too close to intersection,Parking too close to intersection,2/11/2018,Sun,"Cars are often parked on the south side of Madison, between Woodland and the crosswalk.  Cars that turn right onto Madison from Woodland cannot see pedestrians who are in the crosswalk.",walks,MILLSBRAE AV & WOODLAND AV,Madison Rd,Oakley,Agree!
2404,1757,4232845602342331685893,Speeding,Speeding,2/11/2018,Sun,Speeding all along Linwood is a problem.,drives,URBANCREST PL & SALISBURY DR,Linwood Av,Mt. Lookout,Agree!  Speeding is an issue here
2405,1802,4575857289445889669676,Speeding,Speeding,2/11/2018,Sun,Cars travels much too fast along the Beechmont levy and it feels very unsafe since there is no median or barrier between east and westbound lanes.,drives,BEECHMONT AV BRIDGE & LITTLE MIAMI RIVER,Beechmont Av,Linwood,"I agree.  There needs to be a yield sign at rt 32 entrance 
ramp. Some cars refuse to slow down before entering levee road"
2406,1803,4252218461642525654806,Other,Other,2/11/2018,Sun,Cars traveling south on Paxton need to be stopped short & just east of the vehicular entrance to the pool & playground.  It's very difficult to make a left onto Paxton from the playground parking lot as traffic is so heavy.,drives,PAXTON AV & BALLARD AV,Paxton Av,Oakley,
2407,1804,4515053534745252114832,Crosswalk Needed,Crosswalk Needed,2/11/2018,Sun,At this intersection is a baseball field & playground. Players and siblings are at risk crossing back and forth between the ball field and playground as cars gain momentum coming east on Woodford and speed onto Robinson.,travels (other),WOODFORD RD & ROBISON RD,Robison Rd,Pleasant Ridge,
2408,1805,4250514532242505945259,Other,Other,2/11/2018,Sun,"Drivers heading north on Isabella consistently block intersection at Markbreit.  This causes traffic jams at Madison & Markbreit, since drivers needing to head eastbound on Markbreit are prevented from doing so.",drives,DRAKEWOOD DR & MARKBREIT AV,Markbreit Av,Oakley,"Agree! Yes, there should be a do not block intersection sign, and marking on the pavement to indicate only two cars should be in the straight/left lane."
2410,1806,2978378956129785249501,Walk signal is too short,Walk signal is too short,2/12/2018,Mon,High volume intersection needs pedestrian cross walk signage on road like those recently placed on Hamilton Ave,drives,COLERAIN AV & BLUE ROCK ST,Blue Rock St,Northside,
2411,1807,2978007983429783789561,Speeding,Speeding,2/12/2018,Mon,I'm a business owner at this corner. Excessive speeding is witnessed on an ongoing from all intersections.,walks,COLERAIN AV & BLUE ROCK ST,Colerain Av,Northside,
2412,1758,2978378956129785249501,No Bike Facilities,No Bike Facilities,2/12/2018,Mon,need a bike rack at this corner if possible,walks,COLERAIN AV & BLUE ROCK ST,Blue Rock St,Northside,
2413,1759,3275137493932754984901,Double Parking,Double Parking,2/12/2018,Mon,parents use this street as a drop off for their kids at Fairview Elementary. They often double park and block residential drive ways.,walks,WOOD AV & WOOD AV TERM E OF MIDDLETON AV,Wood Av,Clifton,"residents have done everything they can to dissuade people even using this area, including large rock s and markers and blocking their drive ways to prevent  cars turning around.  the timing of the problem is only for a few minutes on week days."
2414,1760,3273599531032751785490,Speeding,Speeding,2/12/2018,Mon,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,I agree
2415,1808,3275137493932751785310,Speeding,Speeding,2/12/2018,Mon,,walks,WOOD AV & MIDDLETON AV,Middleton Av,Clifton,
2416,1809,3275080442232751374939,Speeding,Speeding,2/12/2018,Mon,,walks,WOOD AV & MIDDLETON AV,Middleton Av,Clifton,
2417,1810,3275080442232750864225,Speeding,Speeding,2/12/2018,Mon,,drives,MIDDLETON AV & RESOR AV,Middleton Av,Clifton,cars are also parked too close to intersection forcing cars to inch out to see past parked cars. Crosswalk at this intersection is not yielded. Two schools are within a block so there are children crossing this street which is scary.
2419,1825,3275084397132750864225,Speeding,Speeding,2/12/2018,Mon,,walks,MIDDLETON AV & EVANSWOOD PL,Middleton Av,Clifton,Why don?ÇÖt the police help us with enforcement?   We have asked.  Nothing happens.
2420,1811,3275178531032751855382,Parking too close to intersection,Parking too close to intersection,2/12/2018,Mon,parents lining up for school pick up start parking all the way up to the stop sign blocking sight lines for 4 way traffic,walks,MIDDLETON AV & MCALPIN AV,Middleton Av,Clifton,
2421,1826,3275178531032761205201,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/12/2018,Mon,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,I agree. Usually people on McAlpin do not realize there is a stop sign and just run through full speed
2422,1827,3305297255033054492578,Speeding,Speeding,2/12/2018,Mon,,walks,W ELDER ST & ELM ST,W Elder St,Over-the-Rhine,
2423,1812,3305422273333054492578,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,,walks,W ELDER ST & ELM ST,Elm St,Over-the-Rhine,
2424,1828,3369130146033691471624,Speeding,Speeding,2/12/2018,Mon,,walks,YOUNG ST & LIBERTY HILL,Young St,Mt. Auburn,
2425,1813,3813468210538136792537,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/12/2018,Mon,"Within 12-18 months 3 buildings were hit by cars in the vicinity of Section, Reading and Northwood. Speeding & running a red light may soon hurt a pedestrian walking along the sidewalk",walks,READING RD & SECTION RD,Reading Rd,Roselawn,
2426,1814,3018534316430087262461,Speeding,Speeding,2/12/2018,Mon,"Vehicles speed and run the light at Hamilton & Cedar ongoing. There are numerous accidents, hit and runs (both vehicles and pedestrians). The PNC building is hit by a car every year.",walks,LLANFAIR AV & HAMILTON AV,Hamilton Av,College Hill,
2427,1829,3813707260340140973413,Other,Other,2/12/2018,Mon,This area is too walkable. Streetwalkers or sex trafficking victims are along this section of Reading Rd most of the time.,walks,READING RD & AMBERLAWN AV,Reading Rd,Roselawn,
2428,1841,3285475295732755083306,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,Cars turning onto Telford are trying to beat the often heavy traffic to make the turn that they don't pay attention to pedestrians crossing there.,walks,TELFORD ST & LUDLOW AV,Telford St,Clifton,
2429,1873,3381135139533817451335,Walk signal is too short,Walk signal is too short,2/12/2018,Mon,"The walk signals begins flashing ""Don't Walk"" about 3-4 seconds after changing to the Walk signal, barely giving anyone a chance to get walk across the street. That is combined with the long wait for a Walk signal to begin with.",walks,BURNET AV & KASOTA ST,Kasota St,Avondale,
2430,1861,3018264592130197295743,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,2/12/2018,Mon,Wittekind is used as a cut through street from North Bend Rd to Hamilton Ave via Edwood. Curb humps should be installed.,walks,LARRY AV & LARRY AV TERM E OF HAMILTON AV,Wittekind Ter,College Hill,
2431,1862,3314231842333151928656,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,"This intersection was designed to allow 4 lanes to turn onto 9th Street simultaneously from opposite directions, which is not only unsafe, but is also unnecessary as this is not a very congested location.",walks,CENTRAL AV & W 9TH ST,W 9th St,West End,"At least from 4-6pm, this intersection absolutely NEEDS FOUR LANES of traffic flowing onto 9th St from opposite directions because traffic overflows onto 9th from Southbound 75 at this time.  The problem is cars parking along 9th blocking traffic."
2432,1863,3381179181433817921759,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/12/2018,Mon,Vehicles fail to yield to pedestrians crossing in front of Children's Hosp- both turning into the hospital from Burnet (both directions) & also turning out of the hospital drive.,walks,BURNET AV & CATHERINE ST,Catherine St,Avondale,
2433,1864,3303681460633037094897,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,crosswalk on Ravine at W. McMicken -- vehicles driving north on Ravine do not yield at crosswalk after entering Ravine from Central Parkway.,walks,RAVINE ST & BYRON ST,Ravine St,West End,
2434,1865,4547823453245487764682,""" src=""images/09 - Failure to yield while turning.png""></span>&nbsp;Vehicles do not yield at crosswalks",Vehicles do not yield at crosswalks,2/12/2018,Mon,"The crosswalk light to cross Erie should say walk with enough time to cross before the traffic light turns green for cars turning left into the crosswalk area.  Currently, the walk light goes on at the same time as the green light.",walks,BROTHERTON CT & MURRAY AV,Erie Av,Madisonville,"The symbol is not appearing yet, just the blue dot.  I cannot seem to edit the above."
2435,1866,4538195873745387938671,Speeding,Speeding,2/12/2018,Mon,Cars race up this stretch of Madison Road. This area is not pedestrian friendly. Speed here must be monitored.,drives,INSPIRATION WY & MADISON RD,Madison Rd,Madisonville,
2436,1867,4538793867145393468607,Walk signal is too short,Walk signal is too short,2/12/2018,Mon,Need pedestrian bumpouts here and a landing island in the middle of Red Bank Expressway for pedestrians trying to cross.,walks,RED BANK EXWY & MADISON RD,Madison Rd,Madisonville,"Need pedestrian walk signal that has a 12 second headstart before the cars can move, to allow a safer crossing. This intersection is very difficult for people to safely cross."
2437,1868,4538223786945384968193,No Sidewalks,No Sidewalks,2/12/2018,Mon,"Dangerous, no sidewalks for pedestrians on Red Bank Expressway!!!! We need sidewalks here.",walks,RED BANK RD & RED BANK EXWY,Red Bank Exwy,Madisonville,
2438,1869,4530054852547605708472,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,"Need a sign that says ""State Law, stop for pedestrians in crosswalk."" Most drivers are not aware that they are required to stop.",walks,ANDERSON PL & MADISON RD,Madison Rd,Madisonville,
2439,1870,4530054852547605708472,Speeding,Speeding,2/12/2018,Mon,Cars are going way over the speed limit or it needs to be lowered.,drives,STEWART AV & MADISON RD,Madison Rd,Madisonville,Speeding. Cars DO NOT honor the crosswalk at Madison and Anderson Place Speeding especially during restricted times.
2441,1871,4538871958045389990933,No Sidewalks,No Sidewalks,2/12/2018,Mon,,walks,DUCK CREEK CT & DUCK CREEK CT TERM E OF DUCK CREEK RD,Red Bank Rd,Madisonville,
2442,1872,4538534974645388719580,Speeding,Speeding,2/12/2018,Mon,,drives,DUCK CREEK RD & RED BANK RD,Duck Creek Rd,Madisonville,
2443,1921,4537675991545385349746,Speeding,Speeding,2/12/2018,Mon,,walks,DUCK CREEK RD & EASTWOOD DR,Duck Creek Rd,Madisonville,
2444,1922,4535107843445362138946,Speeding,Speeding,2/12/2018,Mon,,walks,STEELE PL & MADISON RD,Madison Rd,Madisonville,
2445,1923,4263746773542645508177,Speeding,Speeding,2/12/2018,Mon,,walks,CAMBERWELL RD & IBSEN AV,Madison Rd,Oakley,"Please use traffic calming techniques to reduce speeding and protect bicyclists and pedestrians, including reducing the roadway to two narrow lanes with protected bike lanes/sidewalks."
2446,1924,4762102830147624298263,Speeding,Speeding,2/12/2018,Mon,Need a reduced speed limit for the main business district here.,walks,WARD ST & MADISON RD,Madison Rd,Madisonville,"I disagree that the speed limit should be lowered, it's already at 25 mph, but it needs enforcing."
2447,1925,4254103515242541996122,Parking on the sidewalk,Parking on the sidewalk,2/12/2018,Mon,Most residents seem to think it is ok to park partially in the driveway and partially on the sidewalk.  Sometimes I need to walk in the street.,walks,PILLARS DR & PAXTON AV,Pillars Dr,Oakley,
2448,1926,4254705616342549586210,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,No crosswalks in over 1 mile,walks,BROTHERTON RD & PAXTON WOODS LN,Brotherton Rd,Oakley,
2449,1927,4760762726747610547540,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/12/2018,Mon,,uses an assistive device,CAROTHERS ST & PEABODY AV,Peabody Av,Madisonville,
2450,1928,3316766045733168390040,Jaywalking,Jaywalking,2/12/2018,Mon,Lots of people jaywalking across the street all along Vine between 12th & 13th. Would be nice to have cross walks or make it more pedestrian-friendly on weekends,walks,E 12TH ST & W 12TH ST,Vine St,Over-the-Rhine,
2451,1929,4259966487042502105068,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,Cars speeding down Madison road and do not stop at Cross-walk,walks,ROMANA PL & MADISON RD,Madison Rd,Oakley,"This Sat morn(3-31), I walked into crosswalk's curblane ahead of a car coming 200' away.  It slowed but instead of stopping, swerved into center lane and drove around me!!"
2452,1930,4259715465842599664870,Lack of Visibility,Lack of Visibility,2/12/2018,Mon,Driving out of the square the Cross-walk is not easy to identify,drives,ROMANA PL & MADISON RD,Madison Rd,Oakley,i agree.
2453,1931,4259715465842599664870,Speeding,Speeding,2/12/2018,Mon,,walks,ROMANA PL & MADISON RD,Madison Rd,Oakley,I agree
2454,1932,4259715465842599664870,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/12/2018,Mon,,walks,ROMANA PL & MADISON RD,Madison Rd,Oakley,"I agree! We cross here often and the cars never stop and are usually going faster than the speed limit! No they do not, though it's the law, it's not signed, enforced, or common knowledge."
2456,1935,4250344569342504276774,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,2/12/2018,Mon,The street is used to bypass Oakley square traffic in rush hour or as Norwood connector.,walks,MINOT AV & 34TH AV,34th Av,Oakley,
2457,1936,4250344569342504276774,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,2/12/2018,Mon,This intersection and 34th become very active at 2am with loud and speeding car traffic. Many patrons picking up their car are visibly intoxicated and should not drive anymore.,walks,MINOT AV & 34TH AV,34th Av,Oakley,
2458,1953,3275137493932751785310,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/12/2018,Mon,,drives,MIDDLETON AV & MCALPIN AV,Middleton Av,Clifton,
2459,1954,4764066742747640707751,Speeding,Speeding,2/12/2018,Mon,Settle Street is narrow which makes speeding an additional problem because there are no sidewalks and people must walk in the street.,walks,GRANADA ST & SETTLE ST,Settle St,Madisonville,
2460,1955,3713427393337134704349,Speeding,Speeding,2/12/2018,Mon,"There is no Stop sign on Nassau here, and it is difficult to see traffic from either direction. Numerous bad crashes and close-calls here.",drives,FULTON AV & NASSAU ST,Fulton Av,Walnut Hills,
2461,1956,3713470434937137994315,Speeding,Speeding,2/12/2018,Mon,"Even with the Playground ""warning"" sign, drivers go up and down Nassau at notably dangerous speeds. Stop signs at Fulton and St. James could help.",walks,ST JAMES AV & ALPINE PL,Nassau St,Walnut Hills,
2462,1957,3713427393337134704349,Lack of Visibility,Lack of Visibility,2/12/2018,Mon,"Crossing Nassau from Fulton is difficult because there is no Stop sign, drivers speed, and parking on both sides makes visibility VERY low.",walks,FULTON AV & NASSAU ST,Fulton Av,Walnut Hills,
2463,1958,3707025641137075106355,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,"A crosswalk is needed here so that people can cross Woodburn, and to slow traffic.",walks,LOCUST ST & WOODBURN AV,Locust St,East Walnut Hills,Agreed!
2464,1959,4233420806342335528620,Jaywalking,Jaywalking,2/12/2018,Mon,Need a 4way stop with crosswalk at Principio and Herschel.  Change no stop when turning right to a full stop with crosswalks.,walks,PRINCIPIO AV & HERSCHEL AV,Herschel Av,Mt. Lookout,100% agree This is an extremely dangerous intersection especially at end of day times for Kilgour 3:45 & Metro buses dropping off Walnut kids 3:10-3:20. Need a crossing guard or Police officer here to monitor. A Walnut student was struck by a car last year!
2466,1960,4067807589340683445839,Accessibility issue,Accessibility issue,2/13/2018,Tue,The road is not adequate to support two way traffic.,travels (other),MINOT AV & EDWARDS RD TO I-71 NB RAMP,Minot Av,Oakley,"^That's not what ""Accessibility"" means. They mean accessible to pedestrians who may have physical disabilities. This street is just narrow when cars are parked along both sides. Don't use it as a thoroughfare."
2467,1961,4762429826347632198175,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/13/2018,Tue,This is a long block with few crossing places.,walks,SIERRA ST & CHAPMAN ST,Madison Rd,Madisonville,
2468,1962,4753929629247640207116,Speeding,Speeding,2/13/2018,Tue,Very narrow street forces pedestrians and cars to share space.  Speeding here makes this very dangerous.,walks,SETTLE ST BRIDGE & LITTLE DUCK CREEK,Settle St,Madisonville,
2469,1963,4761757833647617988685,Parking too close to intersection,Parking too close to intersection,2/13/2018,Tue,Cars are parked too close to the intersection making it difficult to see well enough to drive across safely.,drives,WHETSEL AV & MADISON RD,Whetsel Av,Madisonville,
2470,1964,4754002485447545544791,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,It is hard to see oncoming traffic here.,drives,BRAMBLE AV & BLANEY AV,Bramble Av,Madisonville,
2471,1965,4751084558247511235950,Speeding,Speeding,2/13/2018,Tue,I have seen people fly down Lucerne going 40 mph+.  When both sides of the streets with parking-it is really not safe. There?ÇÖs also plenty of children who live on the street.,walks,ADELPHI ST & LUCERNE AV,Lucerne Av,Madisonville,
2472,1966,4250445371442507613685,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,"Drivers can be really fast and it would be ideal to have a crosswalk, especially when crossing with young children.",walks,ISABELLA AV & CADILLAC AV,Cadillac Av,Oakley,I agree I agree.
2474,1967,4259985566242502855633,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,Crosswalks and stop signs would be ideal all down Minot. There's no reason cars should need to speed down it.,walks,MINOT AV & 34TH AV,Minot Av,Oakley,
2475,1968,4262838932042635799247,Speeding,Speeding,2/13/2018,Tue,,walks,CUSHMAN AV & CUSHMAN AV TERM S OF RIDGE AV,Alamo Av,Oakley,
2476,2241,3276022432132761205201,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,"The ONLY place to cross Clifton Ave is Wolper or Glenmary.  A crosswalk is needed on one side for Fairview School and on the other side, the Temple.  There is extensive jaywalking daily because both aforementioned crosswalks are far away!",drives,WOOLPER AV & MCALPIN AV,Clifton Av,Clifton,
2477,2242,4077295293340675573119,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/13/2018,Tue,stop light changes to green at the same time the walk light lets people walk. people don't yield and instead drive around or in front of person walking,walks,EDWARDS RD & MADISON RD,Madison Rd,,"Agree! Drivers never yield to pedestrians. As a runner who wears bright orange or yellow, I've almost been hit twice in the last week at this intersection because drivers either run red lights or don't yield. I can't imagine being blind and  crossing"
2478,2243,4253619439942536324509,Speeding,Speeding,2/13/2018,Tue,"Posted speed limit of 35 mph is too high for a residential street.  Cars often do 45-50 mph, and this is dangerous for dog-walkers, joggers, and others.  Please reduce speed limit and speeding.",drives,MARBURG AV & ALICEMONT AV,Marburg Av,Oakley,"Please consider using traffic calming techniques on Marburg, such as narrowing the roadway to one lane with guarded bike lanes. This tends to naturally cause drivers to drive slower, and protect the bicycling and pedestrian traffic. I agree!"
2480,2244,4253577395442535964175,No Bike Facilities,No Bike Facilities,2/13/2018,Tue,"Sharrows on this road would be great, to serve for area residents.  Reducing the speed would help entice cycling as well.",drives,MARBURG AV & N STERLING WY,Marburg Av,Oakley,"I agree I would agree, and would also suggest protected bike lanes after reducing the road to two narrow lanes for traffic."
2482,2245,4263602955442639429181,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,Cars from Alamo Ave. pull way out into the road to try to see cars coming around the bend.  Often have to swerve to miss them.,drives,RIDGE AV & ALAMO AV,Ridge Av,Oakley,
2483,2257,4244819101745552900971,Speeding,Speeding,2/13/2018,Tue,"I live in pape, and people constantly are driving down way over 30, it?ÇÖs barely a lane wide with the street parking. Lots of kids on the street. I?ÇÖd suggest some speed humps. Thanks!",bikes,PAPE AV & BRENTWOOD AV,Pape Av,Hyde Park,
2484,2258,3381013026133810900997,Long wait for walk signal,Long wait for walk signal,2/13/2018,Tue,"There is a long wait for the the walk signal at this intersection, which is also too short. While crossing during the green light I've almost been hit by cars running the light more than once in the past year.",walks,BURNET AV & ALBERT SABIN WY,Burnet Av,Avondale,
2485,2259,3380659134633810900997,Lack of Visibility,Lack of Visibility,2/13/2018,Tue,"This cross walk is at an awkward corner, and it is hard for vehicles to see when pedestrians are waiting to cross, leading to a lot of near misses.",walks,ELLAND AV & ALBERT SABIN WY,Albert Sabin Wy,Corryville,I agree! I agree.  onstreet parking needs to be removed near the curve.
2487,2260,3381179181433812192178,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/13/2018,Tue,Cars frequently make right turns on red lights without consideration for pedestrians in the crosswalk with the walk light. I use this intersection a few times every day and see a near miss at least once a week.,walks,ERKENBRECHER AV & BURNET AV,Burnet Av,Corryville,"I have experienced this as well, at this light."
2488,2261,3018255621930182645921,Speeding,Speeding,2/13/2018,Tue,Speeding is a major problem through this area,walks,HARBESON AV & TEAKWOOD AV,Hamilton Av,College Hill,
2489,2262,3018244653630182566306,Crosswalk Needed,Crosswalk Needed,2/13/2018,Tue,A crosswalk is needed across Hamilton Ave by Teakwood. Many students need to cross the street to catch the metro to get to high school. Cars drive dangerously fast down this stretch of Hamilton.,walks,BIRCHWOOD AV & HAMILTON AV,Hamilton Av,College Hill,
2490,2263,3018255621930182566306,Other,Other,2/13/2018,Tue,Hamilton ave needs to be reduced to one lane in both directions with a dedicated center turn lane. Many accidents happen in this area as residents try to turn left on to their streets. lots of rear-ended accidents,drives,HARBESON AV & TEAKWOOD AV,Hamilton Av,College Hill,"speeding in this area is the main cause. Speed limit is 35, 25 mph, yet drivers are in excess of 55 mph every day of the week."
2491,1880,3018255621930182645921,""" src=""images/06 - Speeding.png""></span>&nbsp;Speeding",Speeding,2/12/2018,Mon,Vehicles routinely speed,drives,HAMILTON AV & PEASLEE AV,Hamilton Av,College Hill,
2492,1881,4077353103040773671214,Jaywalking,Jaywalking,2/12/2018,Mon,"People constantly cross here, rather than walking 30 feet to the marked crosswalk.",drives,EDWARDS RD & GREGSON PL,Edwards Rd,Hyde Park,
2493,1882,3357752746133582117563,""" src=""images/14 - Other issue.png""></span>&nbsp;Other",Other,2/12/2018,Mon,Vehicles stopping in Bus lane as they go into the Beer store.  Always causing unsafe acts as the bus's try to move around them.,walks,WALNUT ST & E 5TH ST,E 5th St,Downtown,
2494,1883,3303709489733037714780,Lack of Visibility,Lack of Visibility,2/12/2018,Mon,"At night, drivers entering Ravine Street from Central Parkway cannot see pedestrians in the crosswalk at the intersection of Ravine and W. McMicken Avenue due to poor lighting, the presence of a steep grade on Ravine, and speed.",walks,RAVINE ST & BYRON ST,W McMicken Av,Over-the-Rhine,
2495,1884,4537247883745375798801,Speeding,Speeding,2/12/2018,Mon,"Motorists speed on this stretch of Madison Road, way over the limit! A school and residences are located here. Speeding needs to be reduced or at least enforced by the city",walks,BABSON PL & MADISON RD,Madison Rd,Madisonville,
2496,1885,4538041746545383107423,No Sidewalks,No Sidewalks,2/12/2018,Mon,,walks,HETZEL ST & RED BANK EXWY,Hetzel St,Madisonville,
2497,1886,4539346860745300548525,Speeding,Speeding,2/12/2018,Mon,,drives,MADISON RD & MEDPACE WY,Madison Rd,Madisonville,"Agree, speeding especially during restricted times."
2498,1887,4538870958045391379457,No Sidewalks,No Sidewalks,2/12/2018,Mon,,walks,DUCK CREEK RD & RED BANK EXWY,Duck Creek Rd,Madisonville,
2499,1888,4527911386845288782997,No Sidewalks,No Sidewalks,2/12/2018,Mon,No sidewalk on Red Bank to access Daniel Drake Park,walks,CONGREVE AV & RED BANK RD,Red Bank Rd,Kennedy Heights,"Sidewalks leading to the park would be nice, not a necessity but definitely a help."
2500,1937,4263746773542638888548,Walk signal is too short,Walk signal is too short,2/12/2018,Mon,Need a 12 second headstart for the pedestrian crossing signal. Very dangerous crosswalk for pedestrians.,walks,RIDGE AV & MADISON RD,Ridge Av,Oakley,
2501,1938,4761414837547617578336,Speeding,Speeding,2/12/2018,Mon,,walks,WHETSEL AV & MADISON RD,Madison Rd,Madisonville,
2502,1939,4253854517642539205851,Parking on the sidewalk,Parking on the sidewalk,2/12/2018,Mon,Most residents seem to think it is ok to park partially in the driveway and partially on the sidewalk.  Sometimes I need to walk in the street.,walks,SHEREL LN & PAXTON AV,Sherel Ln,Oakley,
2503,1940,4254351512742544466137,Parking on the sidewalk,Parking on the sidewalk,2/12/2018,Mon,Most residents seem to think it is ok to park partially in the driveway and partially on the sidewalk.  Sometimes I need to walk in the street.,walks,PAXTON AV & JORA LN,Jora Ln,Oakley,
2504,1941,4254599510642547056163,Parking on the sidewalk,Parking on the sidewalk,2/12/2018,Mon,Most residents seem to think it is ok to park partially in the driveway and partially on the sidewalk.  Sometimes I need to walk in the street.,walks,PAXTON WOODS DR & PAXTON WOODS LN,Club View Dr,Oakley,
2505,1942,4253233607042539466109,Speeding,Speeding,2/12/2018,Mon,50+ MPH is not uncommon.   Need Speed Humps.,drives,SHEREL CIR & SHEREL CIR TERM W OF SHEREL LN,Brotherton Rd,Oakley,
2506,1943,4530417730947607627267,Speeding,Speeding,2/12/2018,Mon,People see how fast they can do in his little stretch of road at all hours of he night. A speed bump just after OAR would solve this. Thank you.,walks,STEWART AV & ORLANDO PL,Orlando Pl,Madisonville,
2507,1944,4530417730947607627267,Jaywalking,Jaywalking,2/12/2018,Mon,,drives,STEWART AV & ORLANDO PL,Orlando Pl,Madisonville,
2508,1945,4530432748547605708472,Jaywalking,Jaywalking,2/12/2018,Mon,,drives,PRENTICE ST & PRENTICE ST TERM W OF EBERSOLE AV,Stewart Av,Madisonville,
2509,1946,3379267842433795018397,Crosswalk Needed,Crosswalk Needed,2/12/2018,Mon,"This intersection of Eden, Daniels, and Oak is dangerous as there is no signal, no crosswalk, but is a common and convenient place to cross Eden in order to go to UC's Campus",walks,E DANIELS ST & EDEN AV,E Daniels St,Corryville,
