street,city,,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc,
LOCKSLEY CT, Cincinnati,LOCKSLEY CT Cincinnati,OH,45241,39.288384,-84.37862,LOCKSLEY CT Cincinnati,OH,45241,39.288384,-84.37862,6,Car-Dependent
CONREY RD, Cincinnati,CONREY RD Cincinnati,OH,0,39.283209,-84.360072,CONREY RD Cincinnati,OH,,39.28329,-84.3672,19,Car-Dependent
GOLDENHILL DR, Cincinnati,GOLDENHILL DR Cincinnati,OH,45241,39.288435,-84.390196,GOLDENHILL DR Cincinnati,OH,45241,39.288435,-84.39196,17,Car-Dependent
ALGIERS DR, Cincinnati,ALGIERS DR Cincinnati,OH,45246,39.295015,-84.444898,ALGIERS DR Cincinnati,OH,45246,39.29515,-84.444898,16,Car-Dependent
TRAMWAY DR, Cincinnati,TRAMWAY DR Cincinnati,OH,45241,39.295763,-84.405222,TRAMWAY DR Cincinnati,OH,45241,39.295763,-84.45222,16,Car-Dependent
BIGBEN CT, Cincinnati,BIGBEN CT Cincinnati,OH,45241,39.292095,-84.382308,BIGBEN CT Cincinnati,OH,45241,39.29295,-84.38238,4,Car-Dependent
THAMES PL, Cincinnati,THAMES PL Cincinnati,OH,45241,39.292058,-84.380715,THAMES PL Cincinnati,OH,45241,39.29258,-84.38715,1,Car-Dependent
BEST PL, Cincinnati,BEST PL Cincinnati,OH,45241,39.2972,-84.432265,BEST PL Cincinnati,OH,45241,39.2972,-84.432265,6,Car-Dependent
CROWN CT, Cincinnati,CROWN CT Cincinnati,OH,45241,39.293563,-84.375154,CROWN CT Cincinnati,OH,45241,39.293563,-84.375154,9,Car-Dependent
BATH CT, Cincinnati,BATH CT Cincinnati,OH,45241,39.296485,-84.394449,BATH CT Cincinnati,OH,45241,39.296485,-84.394449,47,Car-Dependent
VILLAGEWOODS DR, Cincinnati,VILLAGEWOODS DR Cincinnati,OH,45241,39.295495,-84.385344,VILLAGEWOODS DR Cincinnati,OH,45241,39.295495,-84.385344,34,Car-Dependent
CRESCENTVILLE RD, Cincinnati,CRESCENTVILLE RD Cincinnati,OH,45246,39.300692,-84.446654,CRESCENTVILLE RD Cincinnati,OH,45246,39.3692,-84.446654,24,Car-Dependent
CIRCLEFIELD DR, Cincinnati,CIRCLEFIELD DR Cincinnati,OH,45246,39.298383,-84.445761,CIRCLEFIELD DR Cincinnati,OH,45246,39.298383,-84.445761,22,Car-Dependent
FAWNVISTA LN, Cincinnati,FAWNVISTA LN Cincinnati,OH,45246,39.299585,-84.443986,FAWNVISTA LN Cincinnati,OH,45246,39.299585,-84.443986,16,Car-Dependent
DEXTERPARK BV, Cincinnati,DEXTERPARK BV Cincinnati,OH,45241,39.272816,-84.392094,DEXTERPARK BV Cincinnati,OH,45241,39.272816,-84.39294,14,Car-Dependent
KEMPER RD, Cincinnati,KEMPER RD Cincinnati,OH,45246,39.115667,-84.48638,21,Car-Dependent,,,,,
CROWNEPOINT DR, Cincinnati,CROWNEPOINT DR Cincinnati,OH,45241,39.267624,-84.437812,CROWNEPOINT DR Cincinnati,OH,45241,39.267624,-84.437812,2,Car-Dependent
SHARON RD, Cincinnati,SHARON RD Cincinnati,OH,45241,39.269902,-84.437394,23,Car-Dependent,,,,,
CROWNEPOINT DR, Cincinnati,CROWNEPOINT DR Cincinnati,OH,0,39.267033,-84.433446,CROWNEPOINT DR Cincinnati,OH,45241,39.267624,-84.437812,2,Car-Dependent
CRESCENTVILLE RD, Cincinnati,CRESCENTVILLE RD Cincinnati,OH,45241,39.298348,-84.418832,CRESCENTVILLE RD Cincinnati,OH,45246,39.3692,-84.446654,24,Car-Dependent
WOODSVIEW LN, Cincinnati,WOODSVIEW LN Cincinnati,OH,0,39.283967,-84.396264,WOODSVIEW LN Cincinnati,OH,,39.283967,-84.396264,36,Car-Dependent
SPURRIER LN, Cincinnati,SPURRIER LN Cincinnati,OH,45241,39.266285,-84.413133,SPURRIER LN Cincinnati,OH,45241,39.266285,-84.413133,54,Somewhat Walkable
BEEKLEYWOODS DR, Cincinnati,BEEKLEYWOODS DR Cincinnati,OH,45241,39.269053,-84.409181,BEEKLEYWOODS DR Cincinnati,OH,45241,39.26953,-84.49181,41,Car-Dependent
VERBENA DR, Cincinnati,VERBENA DR Cincinnati,OH,45241,39.264549,-84.408462,VERBENA DR Cincinnati,OH,45241,39.264549,-84.48462,17,Car-Dependent
CONCERTO DR, Cincinnati,CONCERTO DR Cincinnati,OH,45241,39.267718,-84.407096,CONCERTO DR Cincinnati,OH,45241,39.267718,-84.4796,45,Car-Dependent
CREEKVIEW DR, Cincinnati,CREEKVIEW DR Cincinnati,OH,45241,39.259681,-84.40493,19,Car-Dependent,,,,,
CREEK RD, Cincinnati,CREEK RD Cincinnati,OH,45241,39.270336,-84.404692,31,Car-Dependent,,,,,
HAUCK RD, Cincinnati,HAUCK RD Cincinnati,OH,45241,39.290402,-84.401908,HAUCK RD Cincinnati,OH,,39.12198,-84.522357,74,Very Walkable
ZIND LN, Cincinnati,ZIND LN Cincinnati,OH,45241,39.282221,-84.401532,ZIND LN Cincinnati,OH,45241,39.282221,-84.41532,21,Car-Dependent
MALAER DR, Cincinnati,MALAER DR Cincinnati,OH,45241,39.27092,-84.403671,MALAER DR Cincinnati,OH,45241,39.2792,-84.43671,38,Car-Dependent
SHARONVIEW DR, Cincinnati,SHARONVIEW DR Cincinnati,OH,45241,39.27042,-84.402732,SHARONVIEW DR Cincinnati,OH,45241,39.2742,-84.42732,33,Car-Dependent
ELLJAY DR, Cincinnati,ELLJAY DR Cincinnati,OH,45241,39.261586,-84.401064,ELLJAY DR Cincinnati,OH,45241,39.261586,-84.4164,14,Car-Dependent
BEAVERCREEK CR, Cincinnati,BEAVERCREEK CR Cincinnati,OH,45241,39.15871,-84.615999,BEAVERCREEK CR Cincinnati,OH,45241,39.15871,-84.615999,72,Very Walkable
KEMPER RD, Cincinnati,KEMPER RD Cincinnati,OH,45241,39.300424,-84.599389,21,Car-Dependent,,,,,
MEFFORD LN, Cincinnati,MEFFORD LN Cincinnati,OH,45241,39.264469,-84.396467,MEFFORD LN Cincinnati,OH,45241,39.264469,-84.396467,17,Car-Dependent
BLUESTONE CT, Cincinnati,BLUESTONE CT Cincinnati,OH,45241,39.260854,-84.397681,BLUESTONE CT Cincinnati,OH,45241,39.26854,-84.397681,15,Car-Dependent
WENBROOK DR, Cincinnati,WENBROOK DR Cincinnati,OH,45241,39.264969,-84.393052,WENBROOK DR Cincinnati,OH,45241,39.264969,-84.39352,3,Car-Dependent
STONECREEK WY, Cincinnati,STONECREEK WY Cincinnati,OH,45241,39.257819,-84.393199,STONECREEK WY Cincinnati,OH,45241,39.257819,-84.393199,16,Car-Dependent
CRYSTALVIEW CT, Cincinnati,CRYSTALVIEW CT Cincinnati,OH,45241,39.291763,-84.390165,CRYSTALVIEW CT Cincinnati,OH,45241,39.291763,-84.39165,5,Car-Dependent
SWEETGUM CT, Cincinnati,SWEETGUM CT Cincinnati,OH,45241,39.260212,-84.391772,SWEETGUM CT Cincinnati,OH,45241,39.26212,-84.391772,16,Car-Dependent
WHISPER WAY, Cincinnati,WHISPER WAY Cincinnati,OH,45241,39.259875,-84.39072,16,Car-Dependent,,,,,
CORNELL RD, Cincinnati,CORNELL RD Cincinnati,OH,45241,39.272103,-84.390106,47,Car-Dependent,,,,,
WHISPER WY, Cincinnati,WHISPER WY Cincinnati,OH,45241,39.259816,-84.390725,WHISPER WY Cincinnati,OH,45241,39.259816,-84.39725,8,Car-Dependent
LORDALFRED CT, Cincinnati,LORDALFRED CT Cincinnati,OH,45241,39.288795,-84.384565,LORDALFRED CT Cincinnati,OH,45241,39.288795,-84.384565,6,Car-Dependent
GARETH LN, Cincinnati,GARETH LN Cincinnati,OH,45241,39.288866,-84.382837,GARETH LN Cincinnati,OH,45241,39.288866,-84.382837,7,Car-Dependent
JUL.IANNE DR, Cincinnati,JUL.IANNE DR Cincinnati,OH,45241,39.284213,-84.381345,JUL.IANNE DR Cincinnati,OH,45241,39.284213,-84.381345,15,Car-Dependent
JULIANNE DR, Cincinnati,JULIANNE DR Cincinnati,OH,45241,39.284162,-84.381009,JULIANNE DR Cincinnati,OH,45241,39.284162,-84.3819,15,Car-Dependent
LONDONDERRY DR, Cincinnati,LONDONDERRY DR Cincinnati,OH,45241,39.29242,-84.382807,LONDONDERRY DR Cincinnati,OH,45241,39.29242,-84.38287,4,Car-Dependent
BARONY PL, Cincinnati,BARONY PL Cincinnati,OH,45241,39.291316,-84.381039,BARONY PL Cincinnati,OH,45241,39.291316,-84.38139,8,Car-Dependent
GANTZFIELD CT, Cincinnati,GANTZFIELD CT Cincinnati,OH,45241,39.294133,-84.380126,GANTZFIELD CT Cincinnati,OH,45241,39.294133,-84.38126,5,Car-Dependent
OLIVER CT, Cincinnati,OLIVER CT Cincinnati,OH,45241,39.294352,-84.377924,OLIVER CT Cincinnati,OH,45241,39.294352,-84.377924,7,Car-Dependent
VICTORIAN WY, Cincinnati,VICTORIAN WY Cincinnati,OH,45241,39.290149,-84.377301,VICTORIAN WY Cincinnati,OH,45241,39.29149,-84.37731,6,Car-Dependent
DICKENS DR, Cincinnati,DICKENS DR Cincinnati,OH,45241,39.292466,-84.377763,DICKENS DR Cincinnati,OH,45241,39.292466,-84.377763,6,Car-Dependent
SOVEREIGN DR, Cincinnati,SOVEREIGN DR Cincinnati,OH,45241,39.292258,-84.374169,15,Car-Dependent,,,,,
SQUIREHILL CT, Cincinnati,SQUIREHILL CT Cincinnati,OH,45241,39.293371,-84.373287,6,Car-Dependent,,,,,
PLAINFIELD RD, Cincinnati,PLAINFIELD RD Cincinnati,OH,0,39.121098,-84.522357,55,Somewhat Walkable,,,,,
ALDON LN, Cincinnati,ALDON LN Cincinnati,OH,45236,39.189467,-84.408426,ALDON LN Cincinnati,OH,45236,39.189467,-84.48426,58,Somewhat Walkable
SECTION RD, Cincinnati,SECTION RD Cincinnati,OH,45236,39.194456,-84.409668,34,Car-Dependent,,,,,
SOUTHBERKLEY CR, Cincinnati,SOUTHBERKLEY CR Cincinnati,OH,45236,39.270084,-84.404208,SOUTHBERKLEY CR Cincinnati,OH,45236,39.2784,-84.4428,4,Car-Dependent
NORTHBERKLEY CR, Cincinnati,NORTHBERKLEY CR Cincinnati,OH,45236,39.269733,-84.403277,NORTHBERKLEY CR Cincinnati,OH,45236,39.269733,-84.43277,4,Car-Dependent
BROADLAWN CR, Cincinnati,BROADLAWN CR Cincinnati,OH,45236,39.196193,-84.407652,BROADLAWN CR Cincinnati,OH,45236,39.196193,-84.47652,36,Car-Dependent
THORNTON DR, Cincinnati,THORNTON DR Cincinnati,OH,45236,39.19977,-84.407818,THORNTON DR Cincinnati,OH,45236,39.19977,-84.47818,44,Car-Dependent
GARDNER AVE, Cincinnati,GARDNER AVE Cincinnati,OH,45236,39.200569,-84.408224,GARDNER AVE Cincinnati,OH,45236,39.2569,-84.48224,39,Car-Dependent
GATEWOOD LN, Cincinnati,GATEWOOD LN Cincinnati,OH,45236,39.19588,-84.406346,GATEWOOD LN Cincinnati,OH,45236,39.19588,-84.46346,59,Somewhat Walkable
QUEENCREST AVE, Cincinnati,QUEENCREST AVE Cincinnati,OH,45236,39.188358,-84.40644,QUEENCREST AVE Cincinnati,OH,45236,39.188358,-84.4644,52,Somewhat Walkable
OAKCREST AVE, Cincinnati,OAKCREST AVE Cincinnati,OH,45236,39.189117,-84.405545,OAKCREST AVE Cincinnati,OH,45236,39.189117,-84.45545,62,Somewhat Walkable
CEDARWOOD PL, Cincinnati,CEDARWOOD PL Cincinnati,OH,45213,39.180807,-84.404666,CEDARWOOD PL Cincinnati,OH,45213,39.1887,-84.44666,7,Car-Dependent
OAK AVE, Cincinnati,OAK AVE Cincinnati,OH,45236,39.146953,-84.381951,33,Car-Dependent,,,,,
FORDHAM PL, Cincinnati,FORDHAM PL Cincinnati,OH,45213,39.183164,-84.404193,FORDHAM PL Cincinnati,OH,45213,39.183164,-84.44193,16,Car-Dependent
ORCHARD ST, Cincinnati,ORCHARD ST Cincinnati,OH,45236,39.193031,-84.403841,35,Car-Dependent,,,,,
GRAND AVE, Cincinnati,GRAND AVE Cincinnati,OH,45236,39.191051,-84.402963,43,Car-Dependent,Somewhat Bikeable,41,34,Some Transit,
HOLMAN CR, Cincinnati,HOLMAN CR Cincinnati,OH,45236,39.161284,-84.631794,HOLMAN CR Cincinnati,OH,45236,39.161284,-84.631794,44,Car-Dependent
SIBLEY AVE, Cincinnati,SIBLEY AVE Cincinnati,OH,45236,39.198023,-84.399012,SIBLEY AVE Cincinnati,OH,45236,39.19823,-84.39912,7,Very Walkable
PLAINFIELD RD, Cincinnati,PLAINFIELD RD Cincinnati,OH,45213,39.181946,-84.401645,55,Somewhat Walkable,,,,,
STOLL LN, Cincinnati,STOLL LN Cincinnati,OH,45236,39.18652,-84.39771,STOLL LN Cincinnati,OH,45236,39.18652,-84.39771,37,Car-Dependent
ELWYNNE DR, Cincinnati,ELWYNNE DR Cincinnati,OH,45236,39.185877,-84.398921,ELWYNNE DR Cincinnati,OH,45236,39.185877,-84.398921,38,Car-Dependent
HIGHLAND AVE, Cincinnati,HIGHLAND AVE Cincinnati,OH,45236,39.187927,-84.404456,78,Very Walkable,Somewhat Bikeable,45,56,Good Transit,
SAMPSON LN, Cincinnati,SAMPSON LN Cincinnati,OH,45236,39.214504,-84.560278,SAMPSON LN Cincinnati,OH,45236,39.21454,-84.56278,4,Car-Dependent
ALPINE AVE, Cincinnati,ALPINE AVE Cincinnati,OH,45236,39.189319,-84.402026,35,Car-Dependent,,,,,
HAMPTON DR, Cincinnati,HAMPTON DR Cincinnati,OH,45236,39.188741,-84.410244,HAMPTON DR Cincinnati,OH,45236,39.188741,-84.41244,56,Somewhat Walkable
SIEBERN AVE, Cincinnati,SIEBERN AVE Cincinnati,OH,45236,39.191641,-84.407101,SIEBERN AVE Cincinnati,OH,45236,39.191641,-84.4711,68,Somewhat Walkable
BELKENTON AVE, Cincinnati,BELKENTON AVE Cincinnati,OH,45236,39.19101,-84.409854,BELKENTON AVE Cincinnati,OH,45236,39.1911,-84.49854,63,Somewhat Walkable
MONTGOMERY RD, Cincinnati,MONTGOMERY RD Cincinnati,OH,45236,39.190288,-84.40943,6,Somewhat Walkable,Somewhat Bikeable,47,45,Some Transit,
BELKENTON AVE, Cincinnati,BELKENTON AVE Cincinnati,OH,0,39.191483,-84.410198,BELKENTON AVE Cincinnati,OH,45236,39.1911,-84.49854,63,Somewhat Walkable
PARK AVE, Cincinnati,PARK AVE Cincinnati,OH,45236,39.193123,-84.406384,85,Very Walkable,,,,,
DIRR ST, Cincinnati,DIRR ST Cincinnati,OH,45223,33.035865,-87.905129,DIRR ST Cincinnati,OH,45223,33.35865,-87.95129,,Car-Dependent
DREMAN AVE, Cincinnati,DREMAN AVE Cincinnati,OH,45223,39.153559,-84.543342,DREMAN AVE Cincinnati,OH,45223,39.153559,-84.543342,49,Car-Dependent
WEBER ST, Cincinnati,WEBER ST Cincinnati,OH,45223,39.158828,-84.546247,WEBER ST Cincinnati,OH,45223,39.158828,-84.546247,74,Very Walkable
AGNES ST, Cincinnati,AGNES ST Cincinnati,OH,45223,39.154113,-84.548267,AGNES ST Cincinnati,OH,45223,39.154113,-84.548267,52,Somewhat Walkable
ROLL AVE, Cincinnati,ROLL AVE Cincinnati,OH,45223,39.151401,-84.546663,ROLL AVE Cincinnati,OH,45223,39.15141,-84.546663,38,Car-Dependent
DAWSON AVE, Cincinnati,DAWSON AVE Cincinnati,OH,45223,39.1517,-84.54761,DAWSON AVE Cincinnati,OH,45223,39.1517,-84.5477,39,Car-Dependent
ROLL AVE, Cincinnati,ROLL AVE Cincinnati,OH,0,39.151629,-84.546703,ROLL AVE Cincinnati,OH,45223,39.15141,-84.546663,38,Car-Dependent
CASS AVE, Cincinnati,CASS AVE Cincinnati,OH,45223,39.154881,-84.554336,CASS AVE Cincinnati,OH,45223,39.154881,-84.554336,27,Car-Dependent
LLEWELLYN AVE, Cincinnati,LLEWELLYN AVE Cincinnati,OH,45223,39.153897,-84.549591,LLEWELLYN AVE Cincinnati,OH,45223,39.153897,-84.549591,52,Somewhat Walkable
BORDEN ST, Cincinnati,BORDEN ST Cincinnati,OH,45223,39.154529,-84.548557,BORDEN ST Cincinnati,OH,45223,39.154529,-84.548557,52,Somewhat Walkable
HERRON AVE, Cincinnati,HERRON AVE Cincinnati,OH,45223,39.157123,-84.553182,HERRON AVE Cincinnati,OH,45223,39.157123,-84.553182,34,Car-Dependent
TAPPAN AVE, Cincinnati,TAPPAN AVE Cincinnati,OH,45223,39.156725,-84.554929,TAPPAN AVE Cincinnati,OH,45223,39.156725,-84.554929,35,Car-Dependent
KING PL, Cincinnati,KING PL Cincinnati,OH,45223,39.15765,-84.547335,KING PL Cincinnati,OH,45223,39.15765,-84.547335,61,Somewhat Walkable
WEBER PL, Cincinnati,WEBER PL Cincinnati,OH,45223,39.157943,-84.546431,WEBER PL Cincinnati,OH,45223,39.157943,-84.546431,67,Somewhat Walkable
BARTLETT ST, Cincinnati,BARTLETT ST Cincinnati,OH,45225,39.130153,-84.555484,BARTLETT ST Cincinnati,OH,45225,39.13153,-84.555484,37,Car-Dependent
BORDEN ST, Cincinnati,BORDEN ST Cincinnati,OH,0,39.121098,-84.522357,BORDEN ST Cincinnati,OH,45223,39.154529,-84.548557,52,Somewhat Walkable
ERNST ST, Cincinnati,ERNST ST Cincinnati,OH,45214,39.121271,-84.544313,ERNST ST Cincinnati,OH,45214,39.121271,-84.544313,19,Car-Dependent
SEEGAR AVE, Cincinnati,SEEGAR AVE Cincinnati,OH,45214,39.131102,-84.554199,SEEGAR AVE Cincinnati,OH,45214,39.13112,-84.554199,33,Car-Dependent
STATE AVE, Cincinnati,STATE AVE Cincinnati,OH,45214,39.100621,-84.55351,54,Somewhat Walkable,Somewhat Bikeable,35,42,Some Transit,
HARRISON AVE, Cincinnati,HARRISON AVE Cincinnati,OH,45214,39.123183,-84.536949,18,Car-Dependent,,,,,
DEMPSEY ST, Cincinnati,DEMPSEY ST Cincinnati,OH,45225,39.132273,-84.546007,DEMPSEY ST Cincinnati,OH,45225,39.132273,-84.5467,36,Car-Dependent
KNOX ST, Cincinnati,KNOX ST Cincinnati,OH,45214,39.128695,-84.544529,KNOX ST Cincinnati,OH,45214,39.128695,-84.544529,33,Car-Dependent
TREMONT AVE, Cincinnati,TREMONT AVE Cincinnati,OH,45214,39.127496,-84.549218,TREMONT AVE Cincinnati,OH,45214,39.127496,-84.549218,37,Car-Dependent
WAVERLY AVE, Cincinnati,WAVERLY AVE Cincinnati,OH,45214,39.127914,-84.548058,75,Very Walkable,,,,,
WESTWOOD AVE, Cincinnati,WESTWOOD AVE Cincinnati,OH,45214,39.124949,-84.549545,WESTWOOD AVE Cincinnati,OH,45214,39.124949,-84.549545,34,Car-Dependent
MONTROSE ST, Cincinnati,MONTROSE ST Cincinnati,OH,45214,39.126967,-84.553141,MONTROSE ST Cincinnati,OH,45214,39.126967,-84.553141,42,Car-Dependent
MONTROSE AVE, Cincinnati,MONTROSE AVE Cincinnati,OH,45214,39.126816,-84.554057,MONTROSE AVE Cincinnati,OH,45214,39.126816,-84.55457,42,Car-Dependent
QUEENCITY AVE, Cincinnati,QUEENCITY AVE Cincinnati,OH,45214,39.126076,-84.554032,QUEENCITY AVE Cincinnati,OH,45214,39.12676,-84.55432,46,Car-Dependent
FAIRMOUNT AVE, Cincinnati,FAIRMOUNT AVE Cincinnati,OH,45214,39.130052,-84.552672,FAIRMOUNT AVE Cincinnati,OH,45214,39.1352,-84.552672,26,Car-Dependent
ESMONDE ST, Cincinnati,ESMONDE ST Cincinnati,OH,45214,39.124591,-84.556725,ESMONDE ST Cincinnati,OH,45214,39.124591,-84.556725,45,Car-Dependent
VINTON ST, Cincinnati,VINTON ST Cincinnati,OH,0,39.131083,-84.555456,VINTON ST Cincinnati,OH,,39.13183,-84.555456,37,Car-Dependent
FORBUS ST, Cincinnati,FORBUS ST Cincinnati,OH,45214,39.125132,-84.560658,FORBUS ST Cincinnati,OH,45214,39.125132,-84.56658,46,Car-Dependent
VINTON ST, Cincinnati,VINTON ST Cincinnati,OH,45225,39.131247,-84.555725,VINTON ST Cincinnati,OH,,39.13183,-84.555456,37,Car-Dependent
BIEGLER ST, Cincinnati,BIEGLER ST Cincinnati,OH,45214,39.128768,-84.563384,BIEGLER ST Cincinnati,OH,45214,39.128768,-84.563384,48,Car-Dependent
FAIRMOUNT AVE, Cincinnati,FAIRMOUNT AVE Cincinnati,OH,0,39.130522,-84.559587,FAIRMOUNT AVE Cincinnati,OH,45214,39.1352,-84.552672,26,Car-Dependent
BICKEL AVE, Cincinnati,BICKEL AVE Cincinnati,OH,45214,39.132046,-84.566055,BICKEL AVE Cincinnati,OH,45214,39.13246,-84.56655,27,Car-Dependent
AMOR PL, Cincinnati,AMOR PL Cincinnati,OH,45214,39.119953,-84.551155,AMOR PL Cincinnati,OH,45214,39.119953,-84.551155,27,Car-Dependent
CLARA ST, Cincinnati,CLARA ST Cincinnati,OH,45214,39.123294,-84.552636,CLARA ST Cincinnati,OH,45214,39.123294,-84.552636,36,Car-Dependent
MOELLERING AVE, Cincinnati,MOELLERING AVE Cincinnati,OH,45214,39.124903,-84.548144,MOELLERING AVE Cincinnati,OH,45214,39.12493,-84.548144,33,Car-Dependent
SCHOEDINGER AVE, Cincinnati,SCHOEDINGER AVE Cincinnati,OH,45214,39.122654,-84.563907,SCHOEDINGER AVE Cincinnati,OH,45214,39.122654,-84.56397,37,Car-Dependent
GRAEBE AVE, Cincinnati,GRAEBE AVE Cincinnati,OH,45214,39.122131,-84.562979,GRAEBE AVE Cincinnati,OH,45214,39.122131,-84.562979,29,Car-Dependent
SELIM AVE, Cincinnati,SELIM AVE Cincinnati,OH,45214,39.124093,-84.551415,SELIM AVE Cincinnati,OH,45214,39.12493,-84.551415,38,Car-Dependent
SPRINGGROVE AVE, Cincinnati,SPRINGGROVE AVE Cincinnati,OH,45214,39.124899,-84.53592,94,Walker's Paradise,Bikeable,51,,,
BEEKMAN ST, Cincinnati,BEEKMAN ST Cincinnati,OH,45214,39.127175,-84.545281,38,Car-Dependent,Somewhat Bikeable,16,,,
BLAINE RD, Cincinnati,BLAINE RD Cincinnati,OH,45214,39.12921,-84.553289,BLAINE RD Cincinnati,OH,45214,39.12921,-84.553289,35,Car-Dependent
SATURN ST, Cincinnati,SATURN ST Cincinnati,OH,45214,39.128907,-84.560774,SATURN ST Cincinnati,OH,45214,39.12897,-84.56774,35,Car-Dependent
WAVELAND PL, Cincinnati,WAVELAND PL Cincinnati,OH,45214,39.129059,-84.545746,WAVELAND PL Cincinnati,OH,45214,39.12959,-84.545746,31,Car-Dependent
MCBRAYER ST, Cincinnati,MCBRAYER ST Cincinnati,OH,45214,39.129305,-84.557782,MCBRAYER ST Cincinnati,OH,45214,39.12935,-84.557782,33,Car-Dependent
EVERGLADE PL, Cincinnati,EVERGLADE PL Cincinnati,OH,45214,39.128085,-84.557207,EVERGLADE PL Cincinnati,OH,45214,39.12885,-84.55727,39,Car-Dependent
WHITE ST, Cincinnati,WHITE ST Cincinnati,OH,45214,39.129915,-84.563004,WHITE ST Cincinnati,OH,45214,39.129915,-84.5634,41,Car-Dependent
SARVIS CT, Cincinnati,SARVIS CT Cincinnati,OH,45214,39.131057,-84.569678,SARVIS CT Cincinnati,OH,45214,39.13157,-84.569678,16,Car-Dependent
BARTLETT ST, Cincinnati,BARTLETT ST Cincinnati,OH,0,39.130761,-84.555346,BARTLETT ST Cincinnati,OH,45225,39.13153,-84.555484,37,Car-Dependent
HANSFORD PL, Cincinnati,HANSFORD PL Cincinnati,OH,45214,39.132255,-84.568418,HANSFORD PL Cincinnati,OH,45214,39.132255,-84.568418,26,Car-Dependent
TREVOR PL, Cincinnati,TREVOR PL Cincinnati,OH,45225,39.132545,-84.553355,TREVOR PL Cincinnati,OH,45225,39.132545,-84.553355,34,Car-Dependent
STLEO PL, Cincinnati,STLEO PL Cincinnati,OH,45225,39.135756,-84.569783,STLEO PL Cincinnati,OH,45225,39.135756,-84.569783,17,Car-Dependent
SEEGAR AVE, Cincinnati,SEEGAR AVE Cincinnati,OH,45225,39.132477,-84.553987,SEEGAR AVE Cincinnati,OH,45214,39.13112,-84.554199,33,Car-Dependent
LIDDELL ST, Cincinnati,LIDDELL ST Cincinnati,OH,45225,39.131413,-84.546158,LIDDELL ST Cincinnati,OH,45225,39.131413,-84.546158,36,Car-Dependent
KNORR AVE, Cincinnati,KNORR AVE Cincinnati,OH,45214,39.132344,-84.567416,KNORR AVE Cincinnati,OH,45214,39.132344,-84.567416,29,Car-Dependent
WESTMONT DR, Cincinnati,WESTMONT DR Cincinnati,OH,0,39.122269,-84.571075,WESTMONT DR Cincinnati,OH,,39.122269,-84.57175,25,Car-Dependent
CENTURY BV, Cincinnati,CENTURY BV Cincinnati,OH,45246,39.143948,-84.374113,CENTURY BV Cincinnati,OH,45246,39.143948,-84.374113,69,Somewhat Walkable
CENTURY CR, Cincinnati,CENTURY CR Cincinnati,OH,45246,39.143948,-84.374113,CENTURY CR Cincinnati,OH,45246,39.143948,-84.374113,69,Somewhat Walkable
FOREST AVE, Cincinnati,FOREST AVE Cincinnati,OH,45246,32.753596,-88.042676,33,Car-Dependent,Somewhat Bikeable,21,41,Some Transit,
GRANDIN AVE, Cincinnati,GRANDIN AVE Cincinnati,OH,45246,39.129183,-84.456662,GRANDIN AVE Cincinnati,OH,45246,39.129183,-84.456662,34,Car-Dependent
TRI-COUNTY PW, Cincinnati,TRI-COUNTY PW Cincinnati,OH,45246,39.283252,-84.469853,TRI-COUNTY PW Cincinnati,OH,45246,39.283252,-84.469853,47,Car-Dependent
TIVOLI LN, Cincinnati,TIVOLI LN Cincinnati,OH,45246,39.299865,-84.452934,TIVOLI LN Cincinnati,OH,45246,39.299865,-84.452934,2,Car-Dependent
PILGRIM PL, Cincinnati,PILGRIM PL Cincinnati,OH,45246,39.296374,-84.452635,PILGRIM PL Cincinnati,OH,45246,39.296374,-84.452635,18,Car-Dependent
LEDRO ST, Cincinnati,LEDRO ST Cincinnati,OH,45246,39.300822,-84.454095,LEDRO ST Cincinnati,OH,45246,39.3822,-84.45495,24,Car-Dependent
TERRYTOWN CT, Cincinnati,TERRYTOWN CT Cincinnati,OH,45246,39.297121,-84.4518,TERRYTOWN CT Cincinnati,OH,45246,39.297121,-84.4518,2,Car-Dependent
FALLSTONE DR, Cincinnati,FALLSTONE DR Cincinnati,OH,45246,39.271643,-84.491051,FALLSTONE DR Cincinnati,OH,45246,39.271643,-84.49151,29,Car-Dependent
ASHLEIGH CT, Cincinnati,ASHLEIGH CT Cincinnati,OH,45246,39.273118,-84.488478,ASHLEIGH CT Cincinnati,OH,45246,39.273118,-84.488478,3,Car-Dependent
SPRINGFIELD PK, Cincinnati,SPRINGFIELD PK Cincinnati,OH,45246,39.302038,-84.489517,SPRINGFIELD PK Cincinnati,OH,45246,39.3238,-84.489517,26,Car-Dependent
WALNUT ST, Cincinnati,WALNUT ST Cincinnati,OH,45246,39.28474,-84.484102,98,Walker's Paradise,Bikeable,53,82,Excellent Transit,
KENN RD, Cincinnati,KENN RD Cincinnati,OH,45246,39.291353,-84.503802,22,Car-Dependent,,,,,
VANCAMP LN, Cincinnati,VANCAMP LN Cincinnati,OH,45246,39.289669,-84.474839,VANCAMP LN Cincinnati,OH,45246,39.289669,-84.474839,48,Car-Dependent
